t,lx,ly,lz,ax,ay,az,lvx,lvy,lvz,avx,avy,avz,lax,lay,laz,aax,aay,aaz,target_lx,target_ly,target_lz,target_ax,target_ay,target_az,target_lvx,target_lvy,target_lvz,target_avx,target_avy,target_avz,target_lax,target_lay,target_laz,target_aax,target_aay,target_aaz
0.0,-0.0001083306026817129,2.4759899295145253e-05,0.3484002995598183,-5.155138657491956e-05,-0.00024314007900476788,-8.640154397924064e-07,0.0045650499075340495,-0.0005322165169571599,0.046258536966924654,0.0010217062789463593,0.004867675957851406,-0.00023501475772612688,0.0979637573000272,-0.022318154559956477,-0.11591454004712942,0.037639048958751635,0.12682328794193692,0.02029677997075936,0.0,0.0,0.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-0.00122442761959265,0.00013101428411498438,0.3372032551685573,-0.00021089833542574054,-0.001054209119917493,-0.00013706539930866823,0.037935700527892906,-0.002749711714060219,0.5606294611031414,0.006152398811419458,0.03213501232499689,0.0025943669160989158,0.1380663190268255,-0.08305123401116682,-7.933671519272012,0.08574410256252747,0.21216246092149454,0.040096140884930284,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,-0.0022933147648592006,0.00023011179645689015,0.3259744041048674,-0.000365612161465418,-0.0018346928588857908,-0.00026624943025224597,0.06623171433815106,-0.004439241898082664,1.026361300034564,0.010405392306783022,0.05524155476349712,0.00486695097215159,0.2700994887313478,-0.14914433086920226,-14.196757673735023,0.14743613988210938,0.3733374359668553,0.0637612048936331,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-0.0032706967058219716,0.0003162860829663571,0.3148012365068819,-0.0005126572163112268,-0.002567176779256218,-0.0003805582193553147,0.08605048160799245,-0.005261705707781152,1.4094984568938018,0.013217785673904506,0.07149354648154387,0.006205020793473425,0.5598639772008384,-0.22384948070132807,-17.721853293536626,0.23222438461977324,0.6649499959376428,0.09450635689082108,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,-0.004116028040826308,0.0003848521577759104,0.3038669629044821,-0.000647784367581581,-0.0032353734815799627,-0.00047090928909736214,0.09572509194169744,-0.005053963852261688,1.6914983426882906,0.0142747090395086,0.07941542570150463,0.006468458054202451,1.0305985020091877,-0.30687941146289655,-17.8922092972291,0.34230930497125434,1.105255999098666,0.13196310658158472,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,-0.004797293640398028,0.00043246931586256245,0.2934109475381837,-0.0007654449559951047,-0.003824890616488689,-0.0005294547441221569,0.09508589885947245,-0.0038076045847723807,1.8669118089484371,0.013487086050772297,0.07860351288371518,0.005725568616852225,1.6582219743701434,-0.39420120869379194,-14.7545132279186,0.4717935521734528,1.6717439098864197,0.172147518711192,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,-0.005295345857634045,0.0004571378015293132,0.28367349193829056,-0.0008591831369930114,-0.004318372682935136,-0.0005530294162182553,0.08505536222628232,-0.0016301364382199314,1.9399306394917546,0.0109511688842217,0.06949451810780494,0.0041938714058317806,2.3843960931925507,-0.47919015573445817,-8.8659740187551,0.6087990094991027,2.311537380928124,0.2090243553928194,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,-0.005604819167432941,0.0004580268183108111,0.2748589845906469,-0.0009218980503737433,-0.004688387779871629,-0.0005446351297470078,0.06726864906447713,0.0012920083093125353,1.9214425264245716,0.00691268335828239,0.05317758813864845,0.002175028108850823,3.1340882608347185,-0.5541523709723846,-1.0774079504708756,0.738453655862767,2.956031462617135,0.23638403464857935,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-0.005731693909312492,0.0004352879531721497,0.2671170200221922,-0.0009464375869761786,-0.004896648262850982,-0.0005120206997211165,0.043740021675372,0.004726511886333825,1.8265469222127013,0.0017326095860853259,0.03123735327292316,-8.706688973510792e-06,3.830454242928231,-0.6116610185829825,7.650912921234935,0.8456291102783816,3.5340445320647857,0.24930590755535798,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,-0.005689780918279847,0.0003900202215815839,0.26053531436003474,-0.0009274213598387094,-0.0049089837249822535,-0.00046479374858758257,0.01658980707340064,0.008423153515263775,1.6725006132239084,-0.004148793735618907,0.005601243537420485,-0.0020674857789695984,4.405945046453339,-0.6455815702613704,16.391555425611344,0.9172018475803227,3.9824992037386227,0.2450576892596459,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,-0.005497713419300182,0.0003242873200781396,0.2551411539004518,-0.0008633900759977551,-0.004714561498181355,-0.0004118987726204822,-0.012160953463222551,0.012136417606460495,1.4770690573538117,-0.01025208396312713,-0.021634456167711914,-0.003779544902580991,4.809367879792665,-0.6517388923891824,24.348618501759614,0.9437025671498531,4.254092830693743,0.22341390272784328,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
